EAN;Produto_Pesquisa;Preco_Principal;Qtd_Pesquisas_Principal;Farmacia_Principal;Rede_Principal;Menor_Preco_Concorrente;Loja_Menor_Preco_Concorrente;Rede_Menor_Preco_Concorrente;Qtd_Pesquisas_Concorrentes;Produto;Laboratório;Família;CURVA;Recomendacao;Ganho_Potencial;Margem_%;Lucro_Unitario;Preco_Medio;Dif_vs_Concorrente_R$;Dif_vs_Concorrente_%;Custo_Estimado;Lucro_Apos_Acompanhar;Margem_Apos_Acompanhar_%;Tipo_Alerta;Prioridade;Ação Recomendada;Ordem_Prioridade
0;PRINCIPIA GL-02 - GEL DE LIMPEZA SUAVE 500ML;14.623541666666668;48;ZANOL E THOMAZ LTDA;Zanol e Thomaz;0.25;TRIANGULO DROGARIA LTDA;Triangulo;749.0;ADESIVO SILVER MAX PRETO SUPER BRILHO 1.22X50;;;;SEM CUSTO;;;;31.2;14.373541666666668;5749.416666666667;;;;🔴 Negociar Compras;🔴 Crítica;Enviar para compras negociar custo/condição antes de reduzir.;1
7896235353980;MONANGE SAB LIQ FRUTAS VERMELHAS 240ML;9.99;3;ZANOL E THOMAZ LTDA;Zanol e Thomaz;1.99;EMPREENDIMENTOS PAGUE MENOS S/A;Pague Menos;27.0;SAB MONANGE FRUTAS V;COTY;MONANGE;A;SUBIR PREÇO URGENTE;6.438571428571429;-196.4824120603015;-3.91;1.99;8.0;402.01005025125625;13.9;-11.91;-598.4924623115578;🔴 Negociar Compras;🔴 Crítica;Enviar para compras negociar custo/condição antes de reduzir.;1
7896423420180;SNICKERS RECH ORIGINAL 45GR;4.49;2;ZANOL E THOMAZ LTDA;Zanol e Thomaz;1.5;EMPREENDIMENTOS PAGUE MENOS S/A;Pague Menos;17.0;CHOC SNICKERS 45G;;;;SEM CUSTO;;;;3.495;2.99;199.33333333333334;;;;🔴 Negociar Compras;🔴 Crítica;Enviar para compras negociar custo/condição antes de reduzir.;1
7891317452964;DOXAZOSINA 2MG 30CPR EURO;20.99;2;ZANOL E THOMAZ LTDA;Zanol e Thomaz;7.69;EMPREENDIMENTOS PAGUE MENOS S/A;Pague Menos;7.0;MESIL DOXAZOSINA 2MG;EUROFARMA;DOXAZOSINA;B;SUBIR PREÇO URGENTE;2.870714285714286;3.868660598179457;0.2975000000000003;7.69;13.299999999999997;172.95188556566964;20.6925;-13.002499999999998;-169.08322496749022;🔴 Negociar Compras;🔴 Crítica;Enviar para compras negociar custo/condição antes de reduzir.;1
7896422504744;SIMETICONA 75MG GTS 15ML MEDLEY;12.99;4;ZANOL E THOMAZ LTDA;Zanol e Thomaz;5.54;TRIANGULO DROGARIA LTDA;Triangulo;26.0;SIMETICONA 75MG GTS 15ML MEDLEY;SANOFI-MEDLEY;SIMETICONA;A;COMPETITIVO;-1.603571428571428;50.26173285198556;2.7845;12.6352380952381;7.45;134.4765342960289;10.2055;-4.665500000000001;-84.21480144404333;🔴 Negociar Compras;🔴 Crítica;Enviar para compras negociar custo/condição antes de reduzir.;1
7891317431358;ESPIRONOLACTONA 25MG 30CPR EURO;19.99;6;ZANOL E THOMAZ LTDA;Zanol e Thomaz;8.7;EMPREENDIMENTOS PAGUE MENOS S/A;Pague Menos;40.0;ESPIRONOLACTONA 25MG;EUROFARMA;ESPIRONOLACTONA;A;SUBIR PREÇO;1.115486194477787;21.02482372259252;1.829159663865549;8.7;11.29;129.77011494252875;18.16084033613445;-9.46084033613445;-108.7452912199362;🔴 Negociar Compras;🔴 Crítica;Enviar para compras negociar custo/condição antes de reduzir.;1
7506339326055;ALWAYS ABS NOITE SUAVE  L32P26;41.99;2;ZANOL E THOMAZ LTDA;Zanol e Thomaz;18.9;MATEUS SUPERMERCADOS SA;Mateus Super Rcados;16.0;ABS ALWAYS NOTURNO SUAVE G CA 32X1;PROCTER GAMBLE;ALWAYS;B;SUBIR PREÇO URGENTE;8.695714285714288;7.278835386338184;1.949999999999999;27.32111111111111;23.090000000000003;122.16931216931219;40.040000000000006;-21.140000000000008;-111.85185185185189;🔴 Negociar Compras;🔴 Crítica;Enviar para compras negociar custo/condição antes de reduzir.;1
7891008123975;GAROTO CHOC TAB AO LEITE 80GR;10.99;1;ZANOL E THOMAZ LTDA;Zanol e Thomaz;5.0;POSTERUS SUPERMERCADOS LTDA;Posterus Super Rcados;19.0;CHOC BR GAROTO AO LEITE 80G;NESTLE;GAROTO;C;SUBIR PREÇO URGENTE;7.139285714285716;-69.95000000000002;-3.4975;6.645;5.99;119.8;14.4875;-9.4875;-189.75000000000003;🔴 Negociar Compras;🔴 Crítica;Enviar para compras negociar custo/condição antes de reduzir.;1
7897595602626;ACICLOVIR 200MG 25 CP SANDOZ;35.99;2;ZANOL E THOMAZ LTDA;Zanol e Thomaz;16.99;BRASIFARMA COMERCIO DE MEDICAMENTOS LTDA;Brasifarma;7.0;GEN ACICLOVIR 200MG 25CPR;SANDOZ;ACICLOVIR;B;SUBIR PREÇO URGENTE;5.595714285714291;6.945261918775739;1.179999999999998;16.99;19.000000000000004;111.83048852266042;34.81;-17.820000000000004;-104.88522660388466;🔴 Negociar Compras;🔴 Crítica;Enviar para compras negociar custo/condição antes de reduzir.;1
7896422505741;ACICLOVIR CR DERM 50MG/G 10G MEDLEY;17.99;2;ZANOL E THOMAZ LTDA;Zanol e Thomaz;8.65;RAIADROGASIL SA;Drogasil;11.0;ACICLOVIR 50 MEG 10G;SANOFI-MEDLEY;ACICLOVIR;B;SUBIR PREÇO;1.210714285714285;20.20231213872833;1.7475;8.65;9.339999999999998;107.97687861271675;16.2425;-7.592499999999999;-87.77456647398843;🔴 Negociar Compras;🔴 Crítica;Enviar para compras negociar custo/condição antes de reduzir.;1
